question_id,question,choices,answerKey,statements,isRelevant
,,,,"Jumping can be dangerous if not done properly, especially from heights or without proper landing techniques.",
,,,,Children love jumping on trampolines or playing games like hopscotch.,
,,,,"Jumping is often a natural response to excitement or surprise, like jumping for joy.",
,,,,"Some animals, like kangaroos and frogs, are known for their ability to jump great distances.",
,,,,The height or distance of a jump depends on a person’s physical strength and technique.,
,,,,"Jumping is used in various physical exercises, like squat jumps or box jumps, to build strength and coordination.",
,,,,"In sports like parkour, jumping is essential for overcoming obstacles or navigating through urban environments.",
,,sitting down,,"Sitting down typically involves lowering your body onto a surface, such as a chair, bench, or the ground.",
,,,,"People usually sit down to rest, eat, work, or engage in social activities.",
,,,,"It is common to sit down when attending a meeting, watching TV, or having a conversation.",
,,,,"Sitting down provides support to your body, especially to your legs and back.",
,,,,"When sitting down, it’s important to maintain good posture to avoid back or neck pain.",
,,,,Most people prefer to sit down when they are feeling tired or need a break from standing.,
,,,,"You can sit down on different types of seating, such as chairs, couches, or stools.",
,,,,Sitting down for long periods without moving can lead to discomfort or stiffness.,
,,,,"People may sit down in public places, like parks or restaurants, to relax or socialize.",
,,,,"When sitting down, it’s common to adjust your position for comfort, like crossing your legs or shifting your weight.",
c7cb327fa4c0008efaa7741081a365d4,What would you be building if you designed a place for an annoying critter to stay?,spread disease,bug campers,"Diseases can spread through direct contact with an infected person, such as shaking hands or hugging.",
,,,,Some diseases are airborne and can be transmitted through coughing or sneezing.,
,,,,"Shared spaces, like schools or public transport, can increase the risk of spreading diseases.",
,,,,People who are sick but do not show symptoms may still spread disease to others.,
,,,,"Poor hygiene, such as not washing hands after using the restroom, can contribute to the spread of disease.",
,,,,"Contaminated food or water is a common way for diseases, like food poisoning, to spread.",
,,,,Mosquitoes and other insects can transmit diseases like malaria or Zika virus through bites.,
,,,,Quarantining infected individuals can help prevent the spread of contagious diseases.,
,,,,Vaccination can prevent the spread of certain diseases by reducing the number of susceptible individuals.,
,,,,"In crowded areas, the spread of disease is more likely due to close proximity and the ease of transmission.",
,,swamp,,A swamp is a wetland area that is often characterized by waterlogged ground and dense vegetation.,
,,,,"Swamps are typically found in low-lying areas, near rivers, lakes, or coastal regions.",
,,,,"The water in a swamp is usually shallow, and the land is often muddy and difficult to walk on.",
,,,,"Swamps can be home to a variety of wildlife, including amphibians, reptiles, and waterfowl.",
,,,,Swamps play an important role in filtering water and helping to maintain local ecosystems.,
,,,,"Mosquitoes are common in swamps due to the stagnant water, which provides a breeding ground for their larvae.",
,,,,Swamps often have a distinct smell due to decaying plant material in the water.,
,,,,"Trees, such as cypress and mangrove, are common in swamp ecosystems, along with shrubs and grasses.",
,,,,"Some swamps, like the Everglades in Florida, are protected as national parks or reserves because of their biodiversity.",
,,,,"Swamps can be difficult to navigate because of the thick vegetation and the risk of sinking into the soft, waterlogged ground.",
,,fly away,,Birds fly away when they sense danger.,
,,,,"A strong wind can cause light objects, like papers or leaves, to fly away.",
,,,,"If you let go of a helium balloon outdoors, it will fly away into the sky.",
,,,,Insects often fly away when you try to swat them.,
,,,,Planes fly away from airports to reach their destinations.,
,,,,Kites can fly away if the string breaks or slips from your hand.,
,,,,"If you open a cage, a trapped bird may fly away.",
,,,,People wave goodbye as they watch a plane fly away.,
,,,,Butterflies quickly fly away when disturbed.,
,,,,"If a hat is not secured, a gust of wind might make it fly away.",
,,cat condo,,A cat condo provides a comfortable place for cats to rest and play.,TRUE
,,,,Cats often climb to the top levels of a cat condo to observe their surroundings.,
,,,,A cat condo usually includes multiple platforms and cubbies for exploration.,
,,,,Scratching posts are often built into cat condos to help cats maintain their claws.,
,,,,Cats enjoy hiding inside the enclosed spaces of a cat condo for privacy.,
,,,,Plush or carpeted surfaces on a cat condo make it cozy for napping.,
,,,,Cat condos are designed to keep indoor cats entertained and active.,
,,,,Some cat condos have dangling toys to encourage play.,
,,,,Pet owners place cat condos near windows so cats can enjoy the view.,
,,,,A sturdy cat condo is essential to support a cat’s climbing and jumping.,
